Error,Ntot,Threads,Duration
1.7821191128167947E-5,120000000,1,1734
6.274304106498676E-5,120000000,1,1743
1.8784445782995755E-5,120000000,1,1741
6.453618675709509E-5,120000000,1,1747
3.0784728492134017E-5,120000000,1,1731
7.882830064682255E-5,120000000,2,894
1.3516743496863969E-6,120000000,2,886
5.5912274174780924E-5,120000000,2,889
1.855330386632337E-5,120000000,2,892
1.7415713272383765E-5,120000000,2,894
3.448773350132934E-5,120000000,3,605
6.343499781843293E-5,120000000,3,610
3.395950235770846E-5,120000000,3,619
8.844852337774306E-6,120000000,3,621
5.173678317145265E-6,120000000,3,624
2.279515034885015E-5,120000000,4,491
3.06467942081583E-5,120000000,4,480
1.5741566538397606E-5,120000000,4,481
1.5755694582959205E-4,120000000,4,479
2.8272365724583006E-5,120000000,4,481
8.973571941330025E-5,120000000,5,418
4.601283671455143E-5,120000000,5,403
3.6092178595042156E-5,120000000,5,408
2.352726308714693E-5,120000000,5,410
2.688241255483259E-5,120000000,5,396
2.5383157209907427E-8,120000000,6,343
1.9423350888595862E-5,120000000,6,338
2.1118718281720452E-5,120000000,6,333
8.271894542733025E-6,120000000,6,345
7.010889509866816E-5,120000000,6,343
3.6457908634191342E-6,120000000,8,267
5.46390346301505E-5,120000000,8,271
1.6855651140055242E-5,120000000,8,267
3.582128886145206E-6,120000000,8,265
3.2620315502377854E-5,120000000,8,269
1.712090937857881E-5,120000000,10,238
8.18701190632067E-6,120000000,10,228
2.563537250469143E-6,120000000,10,225
2.7014715344448564E-6,120000000,10,237
8.2172839784939E-5,120000000,10,224
2.0696092549860826E-4,120000000,12,206
2.1214211247560664E-5,120000000,12,232
4.622275797194403E-5,120000000,12,222
8.524257118402482E-6,120000000,12,229
1.9484727532584892E-5,120000000,12,237
1.3683162607765695E-5,1200000000,1,17182
1.0048063707587168E-5,1200000000,1,16906
1.7263087794438752E-5,1200000000,1,16906
1.199293711208293E-5,1200000000,1,16903
6.388234719287156E-7,1200000000,1,17042
2.3685520264562122E-5,1200000000,2,8596
1.8736862567418433E-5,1200000000,2,8612
3.690901070226715E-5,1200000000,2,8622
1.5281976002008333E-5,1200000000,2,8642
1.5686392824750777E-5,1200000000,2,8635
1.2513904292602592E-5,1200000000,3,5838
4.65573096826667E-6,1200000000,3,5834
1.2802505256065346E-5,1200000000,3,5851
1.1884385420308108E-6,1200000000,3,5885
1.4682655650528159E-5,1200000000,3,5874
4.6770414243588156E-5,1200000000,4,4466
4.200547830963052E-6,1200000000,4,4439
1.2441754051701562E-5,1200000000,4,4467
2.2913088274213313E-5,1200000000,4,4460
1.7382821250775745E-5,1200000000,4,4444
2.4300756110537473E-5,1200000000,5,3637
1.5438845817513445E-6,1200000000,5,3657
8.141224221858534E-6,1200000000,5,3602
2.854097012531228E-6,1200000000,5,3604
9.43266459426903E-6,1200000000,5,3623
1.909761377164086E-5,1200000000,6,3091
2.079542956098948E-6,1200000000,6,3077
5.8536371731535665E-6,1200000000,6,3071
1.4299622754125569E-5,1200000000,6,3074
1.756654321935495E-5,1200000000,6,3141
2.4606170539022084E-6,1200000000,8,2466
8.376773537757932E-6,1200000000,8,2453
5.3519318534557204E-6,1200000000,8,2469
2.4255294960902268E-5,1200000000,8,2464
2.0719933158306824E-5,1200000000,8,2452
1.169796995093519E-5,1200000000,10,2042
1.5692595755092978E-5,1200000000,10,2059
9.350965056699166E-6,1200000000,10,2047
1.6827166312846512E-6,1200000000,10,2057
1.9913384845965473E-5,1200000000,10,2079
1.5205581629364435E-5,1200000000,12,1858
6.587871977392461E-6,1200000000,12,1793
9.506936901112173E-6,1200000000,12,1784
2.6501501724372114E-5,1200000000,12,1800
6.133586810474158E-7,1200000000,12,1789
